gender,marital,parenthood,country,age,category,total_moments,percent_category
m,single,y,AUS,20,exercise,0,0
m,single,y,AUS,20,nature,0,0
m,single,y,AUS,30,affection,0,0
m,single,y,AUS,30,leisure,0,0
m,single,y,AUS,30,bonding,0,0
m,single,y,AUS,30,achievement,0,0
m,single,y,AUS,30,enjoy_the_moment,0,0
m,single,y,AUS,30,exercise,0,0
m,single,y,AUS,30,nature,0,0
m,single,y,AUS,40,affection,0,0
m,single,y,AUS,40,leisure,0,0
m,single,y,AUS,40,bonding,0,0
m,single,y,AUS,40,achievement,0,0
m,single,y,AUS,40,enjoy_the_moment,0,0
m,single,y,AUS,40,exercise,0,0
m,single,y,AUS,40,nature,0,0
m,single,y,AUS,50,affection,0,0
m,single,y,AUS,50,leisure,0,0
m,single,y,AUS,50,bonding,0,0
m,single,y,AUS,50,achievement,0,0
m,single,y,AUS,50,enjoy_the_moment,0,0
m,single,y,AUS,50,exercise,0,0
m,single,y,AUS,50,nature,0,0
m,single,y,AUS,60,affection,0,0
m,single,y,AUS,60,leisure,0,0
m,single,y,AUS,60,bonding,0,0
m,single,y,AUS,60,achievement,0,0
m,single,y,AUS,60,enjoy_the_moment,0,0
m,single,y,AUS,60,exercise,0,0
m,single,y,AUS,60,nature,0,0
m,single,y,AUS,70,affection,0,0
m,single,y,AUS,70,leisure,0,0
m,single,y,AUS,70,bonding,0,0
m,single,y,AUS,70,achievement,0,0
m,single,y,AUS,70,enjoy_the_moment,0,0
m,single,y,AUS,70,exercise,0,0
m,single,y,AUS,70,nature,0,0
m,single,y,AUS,80,affection,0,0
m,single,y,AUS,80,leisure,0,0
m,single,y,AUS,80,bonding,0,0
m,single,y,AUS,80,achievement,0,0
m,single,y,AUS,80,enjoy_the_moment,0,0
m,single,y,AUS,80,exercise,0,0
m,single,y,AUS,80,nature,0,0
m,single,y,AUS,90,affection,0,0
m,single,y,AUS,90,leisure,0,0
m,single,y,AUS,90,bonding,0,0
m,single,y,AUS,90,achievement,0,0
m,single,y,AUS,90,enjoy_the_moment,0,0
m,single,y,AUS,90,exercise,0,0
m,single,y,AUS,90,nature,0,0
m,single,y,BRA,0,affection,0,0
m,single,y,BRA,0,leisure,0,0
m,single,y,BRA,0,bonding,0,0
m,single,y,BRA,0,achievement,0,0
m,single,y,BRA,0,enjoy_the_moment,0,0
m,single,y,BRA,0,exercise,0,0
m,single,y,BRA,0,nature,0,0
m,single,y,BRA,10,affection,0,0
m,single,y,BRA,10,leisure,0,0
m,single,y,BRA,10,bonding,0,0
m,single,y,BRA,10,achievement,0,0
m,single,y,BRA,10,enjoy_the_moment,0,0
m,single,y,BRA,10,exercise,0,0
m,single,y,BRA,10,nature,0,0
m,single,y,BRA,20,affection,0,0
m,single,y,BRA,20,leisure,0,0
m,single,y,BRA,20,bonding,0,0
m,single,y,BRA,20,achievement,0,0
m,single,y,BRA,20,enjoy_the_moment,0,0
m,single,y,BRA,20,exercise,0,0
m,single,y,BRA,20,nature,0,0
m,single,y,BRA,30,affection,0,0
m,single,y,BRA,30,leisure,0,0
m,single,y,BRA,30,bonding,0,0
m,single,y,BRA,30,achievement,0,0
m,single,y,BRA,30,enjoy_the_moment,0,0
m,single,y,BRA,30,exercise,0,0
m,single,y,BRA,30,nature,0,0
m,single,y,BRA,40,affection,0,0
m,single,y,BRA,40,leisure,0,0
m,single,y,BRA,40,bonding,0,0
m,single,y,BRA,40,achievement,0,0
m,single,y,BRA,40,enjoy_the_moment,0,0
m,single,y,BRA,40,exercise,0,0
m,single,y,BRA,40,nature,0,0
m,single,y,BRA,50,affection,0,0
m,single,y,BRA,50,leisure,0,0
m,single,y,BRA,50,bonding,0,0
m,single,y,BRA,50,achievement,0,0
m,single,y,BRA,50,enjoy_the_moment,0,0
m,single,y,BRA,50,exercise,0,0
m,single,y,BRA,50,nature,0,0
m,single,y,BRA,60,affection,0,0
m,single,y,BRA,60,leisure,0,0
m,single,y,BRA,60,bonding,0,0
m,single,y,BRA,60,achievement,0,0
m,single,y,BRA,60,enjoy_the_moment,0,0
m,single,y,BRA,60,exercise,0,0
m,single,y,BRA,60,nature,0,0
m,single,y,BRA,70,affection,0,0
m,single,y,BRA,70,leisure,0,0
m,single,y,BRA,70,bonding,0,0
m,single,y,BRA,70,achievement,0,0
m,single,y,BRA,70,enjoy_the_moment,0,0
m,single,y,BRA,70,exercise,0,0
m,single,y,BRA,70,nature,0,0
m,single,y,BRA,80,affection,0,0
m,single,y,BRA,80,leisure,0,0
m,single,y,BRA,80,bonding,0,0
m,single,y,BRA,80,achievement,0,0
m,single,y,BRA,80,enjoy_the_moment,0,0
m,single,y,BRA,80,exercise,0,0
m,single,y,BRA,80,nature,0,0
m,single,y,BRA,90,affection,0,0
m,single,y,BRA,90,leisure,0,0
m,single,y,BRA,90,bonding,0,0
m,single,y,BRA,90,achievement,0,0
m,single,y,BRA,90,enjoy_the_moment,0,0
m,single,y,BRA,90,exercise,0,0
m,single,y,BRA,90,nature,0,0
m,single,y,NGA,0,affection,0,0
m,single,y,NGA,0,leisure,0,0
m,single,y,NGA,0,bonding,0,0
m,single,y,NGA,0,achievement,0,0
m,single,y,NGA,0,enjoy_the_moment,0,0
m,single,y,NGA,0,exercise,0,0
m,single,y,NGA,0,nature,0,0
m,single,y,NGA,10,affection,0,0
m,single,y,NGA,10,leisure,0,0
m,single,y,NGA,10,bonding,0,0
m,single,y,NGA,10,achievement,0,0
m,single,y,NGA,10,enjoy_the_moment,0,0
m,single,y,NGA,10,exercise,0,0
m,single,y,NGA,10,nature,0,0
m,single,y,NGA,20,affection,0,0
m,single,y,NGA,20,leisure,0,0
m,single,y,NGA,20,bonding,0,0
m,single,y,NGA,20,achievement,0,0
m,single,y,NGA,20,enjoy_the_moment,0,0
m,single,y,NGA,20,exercise,0,0
m,single,y,NGA,20,nature,0,0
m,single,y,NGA,30,affection,0,0
m,single,y,NGA,30,leisure,0,0
m,single,y,NGA,30,bonding,0,0
m,single,y,NGA,30,achievement,0,0
m,single,y,NGA,30,enjoy_the_moment,0,0
m,single,y,NGA,30,exercise,0,0
m,single,y,NGA,30,nature,0,0
m,single,y,NGA,40,affection,0,0
m,single,y,NGA,40,leisure,0,0
m,single,y,NGA,40,bonding,0,0
m,single,y,NGA,40,achievement,0,0
m,single,y,NGA,40,enjoy_the_moment,0,0
m,single,y,NGA,40,exercise,0,0
m,single,y,NGA,40,nature,0,0
m,single,y,NGA,50,affection,0,0
m,single,y,NGA,50,leisure,0,0
m,single,y,NGA,50,bonding,0,0
